Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Beekeeper,"$133,934,256","$54,734,256",40.9%,"$79,200,000",59.1%
2,Mean Girls,"$97,774,344","$69,174,344",70.7%,"$28,600,000",29.3%
3,Argylle,"$60,146,145","$28,814,145",47.9%,"$31,332,000",52.1%
4,Night Swim,"$46,601,295","$30,013,295",64.4%,"$16,588,000",35.6%
5,Mobile Suit Gundam Seed Freedom,"$13,248,619",-,-,"$13,248,619",100%
6,The Chosen: S4 Episodes 1-3,"$12,618,621","$12,586,806",99.7%,"$31,815",0.3%
7,Kleks Academy,"$12,113,081",-,-,"$12,113,081",100%
8,The Master and Margarita,"$11,035,606",-,-,"$11,035,606",100%
9,Golden Kamuy,"$11,026,234",-,-,"$11,026,234",100%
10,Alienoid: The Return to the Future,"$10,553,197","$52,405",0.5%,"$10,500,792",99.5%
11,Kolpaçino 4 4'lük,"$6,655,054",-,-,"$6,655,054",100%
12,I.S.S.,"$6,546,978","$6,546,978",100%,-,-
13,Citizen of a Kind,"$6,519,317",-,-,"$6,519,317",100%
14,The Book of Clarence,"$6,071,513","$6,071,513",100%,-,-
15,Lohusa,"$5,981,316",-,-,"$5,981,316",100%
16,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$4,358,808",-,-,"$4,358,808",100%
17,Eine Million Minuten,"$4,300,000",-,-,"$4,300,000",100%
18,Origin,"$4,040,192","$4,040,192",100%,-,-
19,El Roomie,"$3,948,684",-,-,"$3,948,684",100%
20,Lisa Frankenstein,"$3,800,000","$3,800,000",100%,-,-
21,3391 Kilometre,"$3,594,778",-,-,"$3,594,778",100%
22,I soliti idioti 3: Il ritorno,"$3,403,519",-,-,"$3,403,519",100%
23,Fighter,"$3,272,638","$1,000,000",30.6%,"$2,272,638",69.4%
24,Pare parecchio Parigi,"$3,146,636",-,-,"$3,146,636",100%
25,Silent Love,"$2,713,471",-,-,"$2,713,471",100%
26,Detective Conan vs. Kid the Phantom Thief,"$2,563,846",-,-,"$2,563,846",100%
27,Breaking Point,"$2,556,289",-,-,"$2,556,289",100%
28,Queen Rock Montreal,"$2,537,304","$2,000,000",78.8%,"$537,304",21.2%
29,Warning 2,"$2,522,350",-,-,"$2,522,350",100%
30,Cinquanta km all'ora,"$2,405,530",-,-,"$2,405,530",100%
31,Bonnard: Pierre & Marthe,"$2,270,609",-,-,"$2,270,609",100%
32,It's Raining Men,"$2,196,213",-,-,"$2,196,213",100%
33,Tati Part Time,"$2,130,697",-,-,"$2,130,697",100%
34,"Baby boom, or Eggnog 5","$1,890,672",-,-,"$1,890,672",100%
35,Love You as the World Ends: Episode #4.5,"$1,814,466",-,-,"$1,814,466",100%
36,Like a Prince,"$1,681,549",-,-,"$1,681,549",100%
37,Kardes Takimi,"$1,673,066",-,-,"$1,673,066",100%
38,No Way Up,"$1,663,410",-,-,"$1,663,410",100%
39,Valle de sombras,"$1,620,923",-,-,"$1,620,923",100%
40,I Did It My Way,"$1,585,505","$190,686",12%,"$1,394,819",88%
41,A Silence,"$1,562,685",-,-,"$1,562,685",100%
42,Autumn and the Black Jaguar,"$1,520,548",-,-,"$1,520,548",100%
43,Let's Go Karaoke!,"$1,510,372",-,-,"$1,510,372",100%
44,Nedelja,"$1,489,515",-,-,"$1,489,515",100%
